block,trial_number,auditory_stimulus,left_image,right_image,target_label,center_video,target_side,correct_response,playing_side,background,trial_type
1,1,,,,,,,,,,T
1,2,,,,,PE_UC_wiso,center,,center,,T
1,3,,,,,PE_UC_colat,center,,center,,T
1,4,,,,,PE_UC_wiso,center,,center,,T
1,5,,,,,PE_UC_colat,center,,center,,T
1,6,,,,,LT_UC_wiso,center,,center,,T
1,7,,,,,LT_UC_colat,center,,center,,T
1,8,,,,,LT_UC_wiso,center,,center,,T
1,9,,,,,LT_UC_colat,center,,center,,T
2,10,,,,,,,,,,
2,11,,,,,PE_C_manu,center,,center,,T
2,12,,,,,PE_C_tever,center,,center,,T
2,13,,,,,PE_C_manu,center,,center,,T
2,14,,,,,PE_C_tever,center,,center,,T
2,15,,,,,LT_C_manu,center,,center,,T
2,16,,,,,LT_C_tever,center,,center,,T
2,17,,,,,LT_C_manu,center,,center,,T
2,18,,,,,LT_C_tever,center,,center,,T
3,19,,,,,,,,,,
3,20,,,,,PE_UC_colat,center,,center,,T
3,21,,,,,PE_UC_wiso,center,,center,,T
3,22,,,,,PE_UC_colat,center,,center,,T
3,23,,,,,PE_UC_wiso,center,,center,,T
3,24,,,,,LT_UC_colat,center,,center,,T
3,25,,,,,LT_UC_wiso,center,,center,,T
3,26,,,,,LT_UC_colat,center,,center,,T
3,27,,,,,LT_UC_wiso,center,,center,,T
4,28,,,,,,,,,,
4,29,,,,,PE_C_tever,center,,center,,T
4,30,,,,,PE_C_manu,center,,center,,T
4,31,,,,,PE_C_tever,center,,center,,T
4,32,,,,,PE_C_manu,center,,center,,T
4,33,,,,,LT_C_tever,center,,center,,T
4,34,,,,,LT_C_manu,center,,center,,T
4,35,,,,,LT_C_tever,center,,center,,T
4,36,,,,,LT_C_manu,center,,center,,T
5,37,,,,,,,,,,
5,38,,ball,apple,ball,,left,0,,,LWL
5,39,,book,shoe,shoe,,right,1,,,LWL
5,40,,,,,,,,,,
5,41,,manu,tever,manu,,left,0,,,LWL
5,42,,wiso,colat,wiso,,left,0,,,LWL
5,43,,manu,tever,tever,,right,1,,,LWL
5,44,,colat,wiso,colat,,left,0,,,LWL
5,45,,,,,,,,,,
5,46,,wiso,colat,wiso,,left,0,,,LWL
5,47,,colat,wiso,colat,,left,0,,,LWL
5,48,,tever,manu,manu,,right,1,,,LWL
5,49,,manu,tever,tever,,right,1,,,LWL
5,50,,,,,,,,,,
5,51,,wiso,colat,colat,,right,1,,,LWL
5,52,,tever,manu,tever,,left,0,,,LWL
5,53,,manu,tever,manu,,left,0,,,LWL
5,54,,colat,wiso,wiso,,right,1,,,LWL
5,55,,,,,,,,,,
5,56,,tever,manu,tever,,left,0,,,LWL
5,57,,tever,manu,manu,,right,1,,,LWL
5,58,,wiso,colat,colat,,right,1,,,LWL
5,59,,colat,wiso,wiso,,right,1,,,LWL
5,60,,,,,,,,,,
