block,trial_number,auditory_stimulus,left_image,right_image,target_label,center_video,target_side,correct_response,playing_side,background,trial_type
1,1,silence,,,,BouncyBalls,,,center,gray-background,T
1,2,PE_look1,,,,PE_UC_manu,,,center,gray-background,T
1,3,PE_cool1,,,,PE_UC_tever,,,center,gray-background,T
1,4,PE_wow1,,,,PE_UC_manu,,,center,gray-background,T
1,5,PE_check1,,,,PE_UC_tever,,,center,gray-background,T
1,6,LT_this_manu2,,,,LT_UC_manu,,,center,gray-background,T
1,7,LT_here_tever1,,,,LT_UC_tever,,,center,gray-background,T
1,8,LT_this_manu3,,,,LT_UC_manu,,,center,gray-background,T
1,9,LT_here_tever2,,,,LT_UC_tever,,,center,gray-background,T
2,10,silence,,,,Balloons,,,center,gray-background,T
2,11,PE_cool2,,,,PE_C_wiso,,,center,gray-background,T
2,12,PE_wow2,,,,PE_C_colat,,,center,gray-background,T
2,13,PE_check2,,,,PE_C_wiso,,,center,gray-background,T
2,14,PE_look2,,,,PE_C_colat,,,center,gray-background,T
2,15,LT_this_wiso1,,,,LT_C_wiso,,,center,gray-background,T
2,16,LT_here_colat1,,,,LT_C_colat,,,center,gray-background,T
2,17,LT_this_wiso2,,,,LT_C_wiso,,,center,gray-background,T
2,18,LT_here_colat3,,,,LT_C_colat,,,center,gray-background,T
3,19,silence,,,,BouncyBalls,,,center,gray-background,T
3,20,PE_wow3,,,,PE_UC_tever,,,center,gray-background,T
3,21,PE_check3,,,,PE_UC_manu,,,center,gray-background,T
3,22,LT_this_tever2,,,,LT_UC_tever,,,center,gray-background,T
3,23,LT_here_manu2,,,,LT_UC_manu,,,center,gray-background,T
4,24,silence,,,,Balloons,,,center,gray-background,T
4,25,PE_look3,,,,PE_C_colat,,,center,gray-background,T
4,26,PE_cool3,,,,PE_C_wiso,,,center,gray-background,T
4,27,LT_this_colat1,,,,LT_C_colat,,,center,gray-background,T
4,28,LT_here_wiso1,,,,LT_C_wiso,,,center,gray-background,T
5,29,silence,,,,BouncyBalls,,,center,gray-background,T
5,30,where_ball,ball,apple,ball,,left,0,,gray-background,LWL
5,31,look_shoe,book,shoe,shoe,,right,1,,gray-background,LWL
5,32,AG_great_job,autumn-left,autumn-right,,,,,,gray-background,LWL
5,33,see_manu,manu,tever,manu,,left,0,,gray-background,LWL
5,34,find_wiso,wiso,colat,wiso,,left,0,,gray-background,LWL
5,35,where_tever,manu,tever,tever,,right,1,,gray-background,LWL
5,36,look_colat,colat,wiso,colat,,left,0,,gray-background,LWL
5,37,AG_nice_listening,fireworks-left,fireworks-right,,,,,,gray-background,LWL
5,38,see_wiso,wiso,colat,wiso,,left,0,,gray-background,LWL
5,39,find_colat,colat,wiso,colat,,left,0,,gray-background,LWL
5,40,where_manu,tever,manu,manu,,right,1,,gray-background,LWL
5,41,look_tever,manu,tever,tever,,right,1,,gray-background,LWL
5,42,AG_doing_great,mountain-left,mountain-right,,,,,,gray-background,LWL
5,43,see_colat,wiso,colat,colat,,right,1,,gray-background,LWL
5,44,find_tever,tever,manu,tever,,left,0,,gray-background,LWL
5,45,look_manu,manu,tever,manu,,left,0,,gray-background,LWL
5,46,where_wiso,colat,wiso,wiso,,right,1,,gray-background,LWL
5,47,AG_almost_done,ocean-left,ocean-right,,,,,,gray-background,LWL
5,48,see_tever,tever,manu,tever,,left,0,,gray-background,LWL
5,49,find_manu,tever,manu,manu,,right,1,,gray-background,LWL
5,50,where_colat,wiso,colat,colat,,right,1,,gray-background,LWL
5,51,look_wiso,colat,wiso,wiso,,right,1,,gray-background,LWL
5,52,AG_great_job_done,waterfall-left,waterfall-right,,,,,,gray-background,LWL
